Task	Runtime ms	Switches	Average delay ms	Maximum delay ms	Maximum delay at	n of processes	
  a.out:2834	1353.508 ms	5	avg:    0.023 ms	max:    0.080 ms	max at:    541.625250 s	t1	
  a.out:2844	1341.938 ms	7	avg:    0.010 ms	max:    0.020 ms	max at:    543.489016 s	t1	
  a.out:2853	1362.576 ms	3	avg:    0.008 ms	max:    0.013 ms	max at:    544.984720 s	t1	
  a.out:(7)	             |  10226.757 ms |	      954 |	 avg:   10.715 ms |	 max:   28.011 ms |	 max at:   1424.722322 s|	t8
  a.out:(8)	             |  11284.606 ms |	     1231 |	 avg:    9.332 ms |	 max:   32.006 ms |	 max at:   1429.118632 s|	t8
  a.out:(8)	             |  11674.858 ms |	     1076 |	 avg:   10.803 ms |	 max:   36.005 ms |	 max at:   1435.263027 s|	t8
  a.out:(8)	             |  11653.628 ms |	     1066 |	 avg:   10.922 ms |	 max:   28.006 ms |	 max at:   1439.159290 s|	t8
  a.out:(8)	             |  11611.631 ms |	     1272 |	 avg:    9.202 ms |	 max:   41.815 ms |	 max at:   1381.887485 s|	t8
  a.out:(8)	             |  10767.070 ms |	      949 |	 avg:   11.309 ms |	 max:   35.965 ms |	 max at:   1386.495730 s|	t8
  a.out:(8)	             |  11045.675 ms |	      986 |	 avg:   11.151 ms |	 max:   31.980 ms |	 max at:   1390.784019 s|	t8
  a.out:(8)	             |  11600.496 ms |	     1061 |	 avg:   10.975 ms |	 max:   31.992 ms |	 max at:   1396.440403 s|	t8
  a.out:(7)	             |  10262.656 ms |	      954 |	 avg:   10.829 ms |	 max:   24.864 ms |	 max at:   1397.372507 s|	t8
  a.out:(6)	             |   8846.075 ms |	      913 |	 avg:    9.429 ms |	 max:   31.983 ms |	 max at:   1403.672890 s|	t8
  a.out:(8)	             |  11586.238 ms |	     1073 |	 avg:   10.785 ms |	 max:   40.008 ms |	 max at:   1405.349006 s|	t8
  a.out:(8)	             |  11319.307 ms |	     1025 |	 avg:   10.990 ms |	 max:   31.980 ms |	 max at:   1409.413276 s|	t8
  a.out:(8)	             |  10991.509 ms |	      991 |	 avg:   10.983 ms |	 max:   32.846 ms |	 max at:   1413.265541 s|	t8
  a.out:(8)	             |  10957.641 ms |	      967 |	 avg:   11.302 ms |	 max:   32.003 ms |	 max at:   1417.085796 s|	t8
  a.out:(8)	             |  11159.587 ms |	      976 |	 avg:   11.304 ms |	 max:   31.982 ms |	 max at:   1423.326216 s|	t8
  a.out:(8)	             |  11661.964 ms |	     1079 |	 avg:   10.835 ms |	 max:   28.011 ms |	 max at:   1424.722321 s|	t8
  a.out:(8)	             |  10411.938 ms |	     1150 |	 avg:    9.165 ms |	 max:   32.005 ms |	 max at:   1429.118633 s|	t8
  a.out:(8)	             |  11307.677 ms |	     1039 |	 avg:   10.846 ms |	 max:   36.005 ms |	 max at:   1435.263026 s|	t8
  a.out:(8)	             |  11665.142 ms |	     1066 |	 avg:   10.952 ms |	 max:   28.007 ms |	 max at:   1436.287091 s|	t8
  a.out:(8)	             |  11703.065 ms |	     1281 |	 avg:    9.201 ms |	 max:   32.051 ms |	 max at:   1381.943486 s|	t8
  a.out:(8)	             |  11459.543 ms |	     1045 |	 avg:   10.912 ms |	 max:   35.965 ms |	 max at:   1386.495731 s|	t8
  a.out:(8)	             |  11589.656 ms |	     1032 |	 avg:   11.193 ms |	 max:   36.004 ms |	 max at:   1392.680146 s|	t8
  a.out:(8)	             |  11613.989 ms |	     1063 |	 avg:   10.898 ms |	 max:   31.990 ms |	 max at:   1396.440404 s|	t8
  a.out:(7)	             |  10207.144 ms |	      948 |	 avg:   10.809 ms |	 max:   24.864 ms |	 max at:   1397.372507 s|	t8
  a.out:(8)	             |  10977.422 ms |	     1091 |	 avg:   10.083 ms |	 max:   31.984 ms |	 max at:   1403.672888 s|	t8
  a.out:(7)	             |  10213.472 ms |	      950 |	 avg:   10.729 ms |	 max:   35.992 ms |	 max at:   1408.309198 s|	t8
  a.out:(8)	             |  11838.649 ms |	     1087 |	 avg:   10.789 ms |	 max:   31.999 ms |	 max at:   1412.153458 s|	t8
  a.out:(4)	             |   5704.772 ms |	      506 |	 avg:   11.578 ms |	 max:   24.003 ms |	 max at:   1413.377544 s|	t8
  a.out:(7)	             |   9865.855 ms |	      910 |	 avg:   11.283 ms |	 max:   32.002 ms |	 max at:   1417.085796 s|	t8
  a.out:(8)	             |  11760.882 ms |	     1053 |	 avg:   11.080 ms |	 max:   31.982 ms |	 max at:   1423.326219 s|	t8
  a.out:(8)	             |  11517.825 ms |	     1058 |	 avg:   10.894 ms |	 max:   20.029 ms |	 max at:   1427.494524 s|	t8
  a.out:(8)	             |  11484.392 ms |	     1260 |	 avg:    9.237 ms |	 max:   32.005 ms |	 max at:   1429.118635 s|	t8
  a.out:(7)	             |   9925.308 ms |	      902 |	 avg:   10.933 ms |	 max:   36.006 ms |	 max at:   1435.263024 s|	t8
  a.out:(8)	             |  11653.294 ms |	     1065 |	 avg:   10.933 ms |	 max:   28.006 ms |	 max at:   1439.159290 s|	t8
  a.out:(8)	             |  11644.672 ms |	     1272 |	 avg:    9.211 ms |	 max:   32.051 ms |	 max at:   1381.943486 s|	t8
  a.out:(8)	             |  11219.437 ms |	     1009 |	 avg:   11.100 ms |	 max:   40.047 ms |	 max at:   1385.863754 s|	t8
  a.out:(8)	             |  11588.777 ms |	     1040 |	 avg:   11.048 ms |	 max:   32.004 ms |	 max at:   1392.508137 s|	t8
  a.out:(8)	             |  11551.353 ms |	     1053 |	 avg:   10.988 ms |	 max:   31.992 ms |	 max at:   1396.440403 s|	t8
  a.out:(8)	             |  11908.337 ms |	     1105 |	 avg:   10.776 ms |	 max:   28.030 ms |	 max at:   1400.324693 s|	t8
  a.out:(8)	             |  11274.072 ms |	     1132 |	 avg:    9.982 ms |	 max:   31.984 ms |	 max at:   1403.672889 s|	t8
  a.out:(8)	             |  11651.609 ms |	     1083 |	 avg:   10.792 ms |	 max:   40.008 ms |	 max at:   1405.349005 s|	t8
  a.out:(7)	             |  10197.426 ms |	      954 |	 avg:   10.551 ms |	 max:   41.477 ms |	 max at:   1409.221335 s|	t8
  a.out:(8)	             |  11174.978 ms |	      992 |	 avg:   11.268 ms |	 max:   32.846 ms |	 max at:   1413.265538 s|	t8
  a.out:(7)	             |  10058.211 ms |	      846 |	 avg:   11.341 ms |	 max:   31.982 ms |	 max at:   1419.141934 s|	t8
  a.out:(8)	             |  11444.490 ms |	      990 |	 avg:   11.401 ms |	 max:   31.982 ms |	 max at:   1423.326215 s|	t8
  a.out:(7)	             |  10183.835 ms |	      940 |	 avg:   10.810 ms |	 max:   28.011 ms |	 max at:   1424.722321 s|	t8
  a.out:(8)	             |  11695.054 ms |	     1305 |	 avg:    9.096 ms |	 max:   32.005 ms |	 max at:   1429.118636 s|	t8
  a.out:(7)	             |  10125.166 ms |	      919 |	 avg:   10.857 ms |	 max:   36.005 ms |	 max at:   1435.263025 s|	t8
  a.out:(8)	             |  11613.407 ms |	     1062 |	 avg:   10.886 ms |	 max:   28.007 ms |	 max at:   1436.287092 s|	t8
  a.out:(5)	             |   7292.881 ms |	      777 |	 avg:    9.498 ms |	 max:   32.051 ms |	 max at:   1381.943487 s|	t8
  a.out:(8)	             |  11898.194 ms |	     1100 |	 avg:   10.733 ms |	 max:   40.046 ms |	 max at:   1385.863756 s|	t8
  a.out:(8)	             |  11696.175 ms |	     1059 |	 avg:   11.005 ms |	 max:   32.005 ms |	 max at:   1392.508139 s|	t8
  a.out:(8)	             |  11386.678 ms |	     1049 |	 avg:   10.797 ms |	 max:   24.001 ms |	 max at:   1393.748221 s|	t8
  a.out:(8)	             |  11749.805 ms |	     1084 |	 avg:   10.847 ms |	 max:   24.864 ms |	 max at:   1397.372506 s|	t8
  a.out:(8)	             |   9649.253 ms |	      933 |	 avg:   10.318 ms |	 max:   31.984 ms |	 max at:   1403.672888 s|	t8
  a.out:(8)	             |  11503.217 ms |	     1056 |	 avg:   10.846 ms |	 max:   31.980 ms |	 max at:   1405.525014 s|	t8
  a.out:(8)	             |  11382.464 ms |	     1034 |	 avg:   10.935 ms |	 max:   31.980 ms |	 max at:   1409.413276 s|	t8
  a.out:(8)	             |  10688.738 ms |	      945 |	 avg:   11.230 ms |	 max:   32.846 ms |	 max at:   1413.265539 s|	t8
  a.out:(8)	             |  11226.455 ms |	      953 |	 avg:   11.627 ms |	 max:   31.984 ms |	 max at:   1418.373882 s|	t8
  a.out:(7)	             |   9097.681 ms |	      782 |	 avg:   11.127 ms |	 max:   31.980 ms |	 max at:   1421.182074 s|	t8
  a.out:(8)	             |  11602.780 ms |	     1070 |	 avg:   10.840 ms |	 max:   28.011 ms |	 max at:   1424.722320 s|	t8
  a.out:(6)	             |   8172.612 ms |	      984 |	 avg:    9.007 ms |	 max:   32.005 ms |	 max at:   1429.118633 s|	t8
  a.out:(8)	             |  11617.936 ms |	     1058 |	 avg:   10.938 ms |	 max:   36.005 ms |	 max at:   1435.263026 s|	t8
  a.out:(8)	             |  11562.392 ms |	     1059 |	 avg:   10.876 ms |	 max:   28.007 ms |	 max at:   1436.287093 s|	t8
  a.out:(7)	             |  10212.685 ms |	     1125 |	 avg:    9.172 ms |	 max:   32.051 ms |	 max at:   1381.943488 s|	t8
