Task|Runtime.ms|Switches|Average.delay.ms|Maximum.delay.ms|Maximum.delay.at|Time|N.Of.Processes
a.out(8)|8659.875|857|10.890|56.007|5761.162323|2660|8p
a.out(7)|7461.596|721|10.797|54.632|5764.614324|2589|8p
a.out(8)|8075.561|740|11.362|39.995|5766.546322|2085|8p
a.out(8)|8754.300|827|10.832|35.431|5769.901423|2312|8p
a.out(8)|8538.845|872|10.062|64.010|5774.762331|2389|8p
a.out(8)|8708.136|961|9.562|60.572|5776.838144|2489|8p
a.out(8)|8539.685|757|11.516|40.029|5781.474349|2232|8p
a.out(7)|7369.300|919|8.234|31.977|5785.234323|2249|8p
a.out(7)|7932.380|939|8.458|32.012|5788.878335|2378|8p
a.out(7)|7631.534|736|10.561|44.026|5791.842350|2403|8p
a.out(8)|8726.843|874|10.287|52.009|5795.262336|2459|8p
a.out(6)|6561.168|637|10.427|44.025|5798.562352|2246|8p
a.out(8)|8652.531|1864|4.791|36.026|5802.178364|2272|8p
a.out(7)|7501.303|777|11.891|52.032|5754.402352|2602|8p
a.out(7)|7519.649|738|10.444|40.000|5758.406314|2239|8p
a.out(5)|5160.089|498|11.127|56.007|5761.162324|2269|8p
a.out(8)|8051.900|2358|3.569|54.632|5764.614328|2219|8p
a.out(8)|8258.104|1075|8.052|39.995|5766.546325|2261|8p
a.out(7)|7350.837|686|11.128|31.989|5771.494317|2183|8p
a.out(8)|8319.929|837|10.247|64.009|5774.762326|2326|8p
a.out(7)|7495.492|811|9.410|60.572|5776.838142|2384|8p
a.out(7)|7919.455|1144|6.822|36.050|5782.126375|2459|8p
a.out(8)|8983.465|1118|8.282|41.001|5785.478321|2570|8p
a.out(8)|8621.622|954|9.360|48.085|5787.638405|2297|8p
a.out(8)|8525.699|849|10.201|44.026|5791.842351|2228|8p
a.out(7)|7431.226|686|10.731|52.009|5795.262334|2223|8p
a.out(4)|4460.909|447|10.809|63.994|5799.366326|2443|8p
a.out(8)|8593.559|3594|2.461|36.026|5802.178366|2304|8p
a.out(8)|8486.656|888|11.958|52.031|5754.402356|2607|8p
a.out(8)|8139.278|784|10.531|35.997|5757.886326|2213|8p
a.out(6)|6173.726|543|11.342|35.982|5761.182347|2174|8p
a.out(7)|7407.322|1166|6.708|54.632|5764.614328|2324|8p
a.out(6)|6288.741|585|11.701|32.865|5768.738318|2478|8p
a.out(8)|8274.254|2345|3.635|35.430|5769.901425|2282|8p
a.out(8)|7608.223|750|10.405|64.009|5774.762330|2031|8p
a.out(7)|7461.648|804|9.437|60.572|5776.838142|2350|8p
a.out(8)|8409.893|738|11.647|40.029|5781.474349|2174|8p
