Task	Runtime ms	Switches	Average delay ms	Maximum delay ms	Maximum delay at	n of processes	
a.out:(8)	11586.238	1073	10.78	max:   40.008 ms |	 max at:   1405.349006 s|	t8	
a.out:(8)	11319.307	1025	10.99	max:   31.980 ms |	 max at:   1409.413276 s|	t8	
a.out:(8)	10991.509	991	10.98	max:   32.846 ms |	 max at:   1413.265541 s|	t8	
a.out:(8)	10957.641	967	11.30	max:   32.003 ms |	 max at:   1417.085796 s|	t8	
a.out:(8)	11159.587	976	11.30	max:   31.982 ms |	 max at:   1423.326216 s|	t8	
a.out:(8)	11661.964	1079	10.83	max:   28.011 ms |	 max at:   1424.722321 s|	t8	
a.out:(8)	10411.938	1150	9.165	max:   32.005 ms |	 max at:   1429.118633 s|	t8	
a.out:(8)	11307.677	1039	10.84	max:   36.005 ms |	 max at:   1435.263026 s|	t8	
a.out:(8)	11665.142	1066	10.95	max:   28.007 ms |	 max at:   1436.287091 s|	t8	
a.out:(8)	11703.065	1281	9.201	max:   32.051 ms |	 max at:   1381.943486 s|	t8	
a.out:(8)	11459.543	1045	10.912	max:   35.965 ms |	 max at:   1386.495731 s|	t8	
a.out:(8)	11589.656	1032	11.193	max:   36.004 ms |	 max at:   1392.680146 s|	t8	
a.out:(8)	11613.989	1063	10.898	max:   31.990 ms |	 max at:   1396.440404 s|	t8	
a.out:(7)	10207.144	948	10.809	max:   24.864 ms |	 max at:   1397.372507 s|	t8	
a.out:(8)	10977.422	1091	10.083	max:   31.984 ms |	 max at:   1403.672888 s|	t8	
a.out:(7)	10213.472	950	10.729	max:   35.992 ms |	 max at:   1408.309198 s|	t8	
a.out:(8)	11838.649	1087	10.789	max:   31.999 ms |	 max at:   1412.153458 s|	t8	
a.out:(4)	5704.772	506	11.578	max:   24.003 ms |	 max at:   1413.377544 s|	t8	
a.out:(7)	9865.855	910	11.283	max:   32.002 ms |	 max at:   1417.085796 s|	t8	
a.out:(8)	11760.882	1053	11.080	max:   31.982 ms |	 max at:   1423.326219 s|	t8	
a.out:(8)	11517.825	1058	10.894	max:   20.029 ms |	 max at:   1427.494524 s|	t8	
a.out:(8)	11484.392	1260	9.237	max:   32.005 ms |	 max at:   1429.118635 s|	t8	
a.out:(7)	9925.308	902	10.933	max:   36.006 ms |	 max at:   1435.263024 s|	t8	
a.out:(8)	11653.294	1065	10.933	max:   28.006 ms |	 max at:   1439.159290 s|	t8	
a.out:(8)	11644.672	1272	9.211	max:   32.051 ms |	 max at:   1381.943486 s|	t8	
a.out:(8)	11219.437	1009	11.100	max:   40.047 ms |	 max at:   1385.863754 s|	t8	
a.out:(8)	11588.777	1040	11.048	max:   32.004 ms |	 max at:   1392.508137 s|	t8	
a.out:(8)	11551.353	1053	10.988	max:   31.992 ms |	 max at:   1396.440403 s|	t8	
a.out:(8)	11908.337	1105	10.776	max:   28.030 ms |	 max at:   1400.324693 s|	t8	
a.out:(8)	11274.072	1132	9.982	max:   31.984 ms |	 max at:   1403.672889 s|	t8	
a.out:(8)	11651.609	1083	10.792	max:   40.008 ms |	 max at:   1405.349005 s|	t8	
a.out:(7)	10197.426	954	10.551	max:   41.477 ms |	 max at:   1409.221335 s|	t8	
a.out:(8)	11174.978	992	11.268	max:   32.846 ms |	 max at:   1413.265538 s|	t8	
a.out:(7)	10058.211	846	11.341	max:   31.982 ms |	 max at:   1419.141934 s|	t8	
a.out:(8)	11444.490	990	11.401	max:   31.982 ms |	 max at:   1423.326215 s|	t8	
a.out:(7)	10183.835	940	10.810	max:   28.011 ms |	 max at:   1424.722321 s|	t8	
a.out:(8)	11695.054	1305	9.096	max:   32.005 ms |	 max at:   1429.118636 s|	t8	
a.out:(7)	10125.166	919	10.857	max:   36.005 ms |	 max at:   1435.263025 s|	t8	
a.out:(8)	11613.407	1062	10.886	max:   28.007 ms |	 max at:   1436.287092 s|	t8	
a.out:(5)	7292.881	777	9.498	max:   32.051 ms |	 max at:   1381.943487 s|	t8		
a.out:(8)	11898.194	1100	10.733	max:   40.046 ms |	 max at:   1385.863756 s|	t8	
a.out:(8)	11696.175	1059	11.005	max:   32.005 ms |	 max at:   1392.508139 s|	t8	
a.out:(8)	11386.678	1049	10.797	max:   24.001 ms |	 max at:   1393.748221 s|	t8	
a.out:(8)	11749.805	1084	10.847	max:   24.864 ms |	 max at:   1397.372506 s|	t8	
a.out:(8)	9649.253	933	10.318	max:   31.984 ms |	 max at:   1403.672888 s|	t8	
a.out:(8)	11503.217	1056	10.846	max:   31.980 ms |	 max at:   1405.525014 s|	t8	
