Task|Runtime.ms|Switches|Average.delay.ms|Maximum.delay.ms|Maximum.delay.at|Time|N.Of.Processes
a.out(4)|1.062|2|0.073|0.126|10463.927923|1099|8p
a.out(3)|1.367|3|51.276|153.525|10466.576413|1110|8p
a.out(7)|5.385|22|71.302|946.824|10469.405552|1157|8p
a.out(6)|3.682|6|223.377|682.672|10473.761722|1113|8p
a.out(3)|2.546|5|0.506|2.402|10476.080870|1064|8p
a.out(6)|3.518|4|146.820|294.124|10479.717066|1094|8p
a.out(4)|3.294|8|0.006|0.008|10432.472852|1111|8p
a.out(4)|1.563|2|0.008|0.008|10436.995971|1099|8p
a.out(5)|3.471|5|0.008|0.016|10439.129152|1114|8p
a.out(4)|3.002|8|10.151|81.164|10444.387676|1109|8p
a.out(3)|1.337|2|0.006|0.006|10447.253250|1123|8p
a.out(6)|2.225|4|0.010|0.012|10450.195809|1110|8p
a.out(5)|2.991|8|14.961|119.623|10452.705827|1109|8p
a.out(6)|2.908|8|0.007|0.009|10455.884585|1110|8p
a.out(3)|0.953|4|0.006|0.008|10460.203057|1114|8p
a.out(6)|3.283|4|13.702|54.629|10463.280342|1100|8p
a.out(4)|2.860|5|31.603|153.524|10466.576414|1112|8p
a.out(7)|2.756|18|40.484|135.999|10469.556560|1263|8p
a.out(5)|3.133|7|8.430|56.925|10471.817725|1113|8p
a.out(5)|3.418|7|21.276|146.393|10475.722696|1109|8p
a.out(4)|1.576|6|97.887|294.124|10479.717065|1099|8p
a.out(6)|3.421|12|1.013|4.042|10433.447151|1119|8p
a.out(5)|2.363|3|0.008|0.008|10436.995972|1115|8p
a.out(4)|1.674|2|0.008|0.009|10440.837776|1105|8p
a.out(4)|1.552|6|13.533|81.164|10444.387675|1109|8p
a.out(4)|3.241|9|5.166|24.773|10448.719721|1104|8p
a.out(5)|2.223|4|0.009|0.012|10450.195808|1107|8p
a.out(6)|2.320|3|275.800|787.807|10454.629728|1121|8p
a.out(5)|3.105|4|0.007|0.009|10455.884586|1112|8p
a.out(6)|3.368|8|0.007|0.015|10460.175923|1106|8p
a.out(4)|2.304|3|0.007|0.008|10462.331187|1106|8p
a.out(4)|3.147|5|0.053|0.232|10465.196652|1110|8p
a.out(4)|0.612|9|32.897|135.999|10469.556559|1298|8p
a.out(5)|2.398|6|9.808|56.925|10471.817724|1115|8p
a.out(6)|3.644|4|36.604|146.393|10475.722697|1117|8p
a.out(3)|2.491|3|0.012|0.026|10478.204741|1105|8p
a.out(7)|3.281|12|1.013|4.042|10433.447150|1113|8p
a.out(3)|2.774|3|98.518|295.535|10435.478660|1122|8p
a.out(6)|3.075|5|0.012|0.031|10440.531419|1115|8p
a.out(4)|2.376|3|0.007|0.009|10442.955371|1316|8p
a.out(4)|3.080|4|0.018|0.053|10446.045068|1112|8p
a.out(6)|3.763|6|0.009|0.012|10450.195810|1113|8p
a.out(5)|3.036|8|14.961|119.623|10452.705828|1106|8p
a.out(7)|3.660|8|0.007|0.009|10455.884584|1107|8p
a.out(5)|2.533|3|0.008|0.008|10458.924407|1117|8p
